x, y, th, stamp, 
1.0167334972800881e-11, -1.6622537623642287e-10, -4.846454430662561e-06, 1759520945341763798, 
0.0, 0.0, 0.0, 1759520945452559995, 
1.0512895185108886e-11, -1.6586660134693585e-10, -3.617089305407717e-06, 1759520945501995858, 
0.0, 0.0, 0.0, 1759520945552123875, 
1.0623716532687037e-11, -1.6470588988848983e-10, -2.3905779471533606e-06, 1759520945601990178, 
1.1783445284832788e-11, -1.801979095750574e-10, 0.0, 1759520945647626565, 
0.0, 0.0, 0.0, 1759520945692151432, 
1.0899241380465139e-11, -1.6509357786411442e-10, -2.3915911242511356e-06, 1759520945741996610, 
8.164836022480902e-12, -1.223624907170763e-10, 0.0, 1759520945809269592, 
0.0, 0.0, 0.0, 1759520945852533702, 
1.1255519264962219e-11, -1.6647044825976593e-10, -1.2052819329255726e-06, 1759520945901986568, 
0.0, 0.0, 0.0, 1759520945951969978, 
1.2023298955727553e-11, -1.7520573641694564e-10, -5.073679858469404e-06, 1759520945998961232, 
1.1504285985894068e-11, -1.642623493270664e-10, 3.567845396901248e-06, 1759520946049079418, 
0.0, 0.0, -8.561180038668681e-06, 1759520946111739216, 
2.4204761254812063e-11, -3.4044302051889766e-10, 4.931007424602285e-06, 1759520946160090102, 
0.0, 0.0, 0.0, 1759520946191927531, 
9.806388903604545e-12, -1.362032568123743e-10, 9.86705003924726e-07, 1759520946252335297, 
1.2071856546452105e-11, -1.6575290815192136e-10, 3.603284767450532e-06, 1759520946301960553, 
0.0, 0.0, -1.1792939176302752e-06, 1759520946352503208, 
0.0, 0.0, -1.2551023473861278e-06, 1759520946399993075, 
0.0, 0.0, 0.0, 1759520946450097766, 
0.0, 0.0, 0.0, 1759520946492016084, 
0.0, 0.0, 0.0, 1759520946541619439, 
0.0, 0.0, 0.0, 1759520946592819523, 
0.0, 0.0, 0.0, 1759520946653186695, 
0.0, 0.0, 0.0, 1759520946702982702, 
0.0, 0.0, 0.0, 1759520946754574721, 
0.0, 0.0, -3.8543762457265984e-06, 1759520946800967165, 
0.0, 0.0, -3.5381449379201513e-06, 1759520946851506056, 
0.0, 0.0, 0.0, 1759520946891971647, 
0.0, 0.0, 0.0, 1759520946943436961, 
8.759654603020566e-12, -1.1934615215235988e-10, 6.918302005942678e-06, 1759520947012360975, 
0.0, 0.0, -1.4909305718902033e-06, 1759520947052339123, 
0.0, 0.0, 0.0, 1759520947102744994, 
0.0, 0.0, -3.626438683568267e-06, 1759520947152053404, 
1.2340761406337058e-11, -1.65400926961532e-10, 1.1977829217357794e-06, 1759520947201815881, 
1.2227325945743046e-11, -1.6317069310293004e-10, 5.909359970246442e-06, 1759520947252248284, 
0.0, 0.0, -3.023939370905282e-06, 1759520947291670136, 
0.0, 0.0, -1.6847876622705371e-06, 1759520947362426405, 
0.0, 0.0, -1.9906410670955665e-06, 1759520947392368842, 
0.0, 0.0, 0.0, 1759520947452551214, 
1.2523396578305945e-11, -1.6393818500269812e-10, 1.1899149967575795e-06, 1759520947502642729, 
0.0, 0.0, 0.0, 1759520947552112279, 
0.0, 0.0, 0.0, 1759520947602107321, 
0.013917194653299787, -0.0013525057782874242, 0.13858051598072052, 1759520947651963336, 
0.0659056763051465, 0.002016924293298012, 0.30508193373680115, 1759520947691997915, 
0.1076123359009923, 3.3130251956489156e-05, 0.35673823952674866, 1759520947743173884, 
0.1307665931834653, 0.003097770719683239, 0.5122027397155762, 1759520947811913313, 
0.14817145455020553, 0.006263478360852728, 0.6938088536262512, 1759520947851992588, 
0.18990362141998135, 0.00610934070027118, 0.7400180101394653, 1759520947901989199, 
0.22368825350730787, 0.00545811563190554, 0.9081518650054932, 1759520947952100049, 
0.2556206928051106, 0.008222175613182947, 1.008278727531433, 1759520948002000350, 
0.2922645423692161, 0.009061374285145285, 1.1178715229034424, 1759520948051962031, 
0.30355260999033146, 0.008707857982131036, 1.2079664468765259, 1759520948091992496, 
0.31354640703917164, 0.012664038777161307, 1.2425960302352905, 1759520948162079453, 
0.3132901360926401, 0.010744510002500596, 1.236746072769165, 1759520948212432974, 
0.3107714576434203, 0.003690678641827006, 1.286044716835022, 1759520948253057037, 
0.31213091686676053, 0.011658033007348762, 1.269223928451538, 1759520948302001942, 
0.3031699380931928, 0.004945044026309539, 1.2827221155166626, 1759520948351962292, 
0.31404651746745965, 0.006653424128674596, 1.2408456802368164, 1759520948402001977, 
0.30648660589507204, 0.00718143829515063, 1.2469642162322998, 1759520948452124849, 
0.3075201270485734, 0.005032425043300562, 1.2504470348358154, 1759520948493080242, 
0.31564060183476295, 0.011637369817319805, 1.2800921201705933, 1759520948541823830, 
0.3108919926523938, 0.013754108706762328, 1.2490646839141846, 1759520948612425669, 
0.3278422948306789, 0.00625222706927917, 1.2076566219329834, 1759520948641892013, 
0.3110591103659246, 0.013499574989557107, 1.2519985437393188, 1759520948701978491, 
0.3231252896440347, 0.011383831917148151, 1.313976764678955, 1759520948751965968, 
0.3192724021579473, 0.006900558151061078, 1.2951430082321167, 1759520948801998036, 
0.2998994586341894, 0.007535374911937949, 1.2551181316375732, 1759520948853131930, 
0.31395865385028215, 0.010275669616480096, 1.2231260538101196, 1759520948891991976, 
0.30422974846030004, 0.012188493338354074, 1.2308075428009033, 1759520948941652639, 
0.3061365706500382, 0.007488807559602328, 1.224204421043396, 1759520948991979068, 
0.305979286974352, 0.010623101584972094, 1.2346000671386719, 1759520949052090355, 
0.32752183093563136, 0.009449104652647594, 1.2165651321411133, 1759520949102005548, 
0.30424165716761337, 0.011833162664739697, 1.2025489807128906, 1759520949152190674, 
0.32636073327718096, 0.008277931057070783, 1.2300920486450195, 1759520949201994261, 
0.32054493106351684, 0.005889923351000156, 1.2858092784881592, 1759520949251967720, 
0.2943305976888498, 0.006607746393144883, 1.2879407405853271, 1759520949292004077, 
0.3143660706642689, 0.006469138950219543, 1.2761067152023315, 1759520949342572986, 
0.30332633229501865, 0.010840797076385801, 1.2697150707244873, 1759520949414556866, 
0.3240906304458094, 0.009369904419501791, 1.3278452157974243, 1759520949442002934, 
0.30494562686587534, 0.009317916271702972, 1.2907114028930664, 1759520949502003965, 
0.30976703374635006, 0.0036826877535483487, 1.1868985891342163, 1759520949552193307, 
0.30820317910863315, 0.010703049687380945, 1.1749448776245117, 1759520949602013308, 
0.312586672047523, 0.008431491687091763, 1.2355257272720337, 1759520949647971800, 
0.3079016862457695, 0.0051366906838780525, 1.2718924283981323, 1759520949691997255, 
0.30655282868269546, 0.0060521690685389155, 1.2542749643325806, 1759520949741974580, 
0.31513105213923676, 0.006707570787019672, 1.255540132522583, 1759520949792323159, 
0.3174765658333227, 0.012975228585555073, 1.2497278451919556, 1759520949852059254, 
0.30608741787653765, 0.0054544139403192035, 1.3163542747497559, 1759520949902014925, 
0.3098957864648691, 0.008147036031231984, 1.2791680097579956, 1759520949952156770, 
0.28757309627103395, 0.004962483825420056, 1.2277946472167969, 1759520950003304891, 
0.3042955755127254, 0.009216281655019325, 1.2393187284469604, 1759520950048952854, 
0.312898048541594, 0.010594391501728697, 1.277168869972229, 1759520950092105718, 
0.30863357543181524, 0.002836952235977121, 1.2659854888916016, 1759520950141650648, 
0.29878841202826667, 0.011816865444588416, 1.215445637702942, 1759520950209484600, 
0.3105707021521959, 0.006395628029556293, 1.2682249546051025, 1759520950253553238, 
0.31231199032443296, 0.007721606367996076, 1.2989898920059204, 1759520950302072166, 
0.31695360174816195, 0.011287328222837064, 1.216909408569336, 1759520950352150112, 
0.31775328677238857, 0.0074267632265614955, 1.265651822090149, 1759520950399061888, 
0.2981377612204775, 0.008448009312767025, 1.2158564329147339, 1759520950450588785, 
0.30532037869862494, 0.005307588730288169, 1.230233073234558, 1759520950493202200, 
0.30446643989985606, 0.00682601079914383, 1.2480453252792358, 1759520950542280066, 
0.30637877459566487, 0.004634679406914044, 1.2459200620651245, 1759520950591941480, 
0.31080072623113414, 0.009947438995906542, 1.2695492506027222, 1759520950651755179, 
0.3128464798819317, 0.006973389062917786, 1.2288414239883423, 1759520950701978885, 
0.30812044171542574, 0.006358579773888446, 1.2402846813201904, 1759520950752983993, 
0.31564645717150325, 0.009651765165186987, 1.2705812454223633, 1759520950800075643, 
0.303595647615042, 0.009290489925939116, 1.2566522359848022, 1759520950851277489, 
0.31513119296279396, 0.0059604797330892485, 1.2852840423583984, 1759520950892008791, 
0.3052278064483983, 0.007565349082322596, 1.2225751876831055, 1759520950942559054, 
0.30192758188991364, 0.009359798869956425, 1.2367243766784668, 1759520951011572087, 
0.3059473881455589, 0.005277010789745366, 1.2692183256149292, 1759520951054268957, 
0.30574034120716037, 0.005404141362071798, 1.2579745054244995, 1759520951103990829, 
