acc_x, acc_y, angular_z, stamp, 
-0.00999760627746582, 0.0161135196685791, -4.947103916582209e-06, 1759520958127867621, 
-0.01519477367401123, 0.013042271137237549, -3.649374672767433e-06, 1759520958190296902, 
0.004708230495452881, 0.002564072608947754, -5.363589967054162e-06, 1759520958218079371, 
-0.013086795806884766, -0.016652703285217285, -4.950869787487606e-06, 1759520958278165707, 
-0.00033217668533325195, -0.0038298964500427246, -4.687827841800693e-06, 1759520958338335750, 
-0.00917893648147583, 0.008844554424285889, -3.0789106276535194e-06, 1759520958367378090, 
0.01590263843536377, -0.010905981063842773, -2.87501456870066e-06, 1759520958398480417, 
0.012179911136627197, 0.010803461074829102, -2.8070307176752275e-06, 1759520958430334527, 
-0.009412527084350586, -0.017711341381072998, -4.81417480263224e-06, 1759520958461288370, 
-0.009429395198822021, -0.012259900569915771, -5.436793001594235e-06, 1759520958488697343, 
-0.014745950698852539, 0.002252340316772461, -5.945959746915294e-06, 1759520958518771575, 
-0.0021683573722839355, -0.01208961009979248, -4.9648976418425e-06, 1759520958548786120, 
-0.023356378078460693, -0.0012530088424682617, -9.899532365429196e-07, 1759520958639023109, 
0.007429957389831543, -0.0013324618339538574, -9.323085893007615e-07, 1759520958671005339, 
0.01124638319015503, -0.01412135362625122, -9.57983500140389e-07, 1759520958702131144, 
-0.01022183895111084, -0.0217018723487854, -1.0981172529286618e-06, 1759520958729284230, 
0.0026161670684814453, -0.010944366455078125, -4.98070808067644e-10, 1759520958759315847, 
0.00821596384048462, -0.002021968364715576, -5.586027520946331e-10, 1759520958789368277, 
0.018957853317260742, -0.010996758937835693, -5.445011737477785e-10, 1759520958819433643, 
0.033137738704681396, 0.008726119995117188, 9.902578216347706e-07, 1759520958849514355, 
0.0025167465209960938, 0.005122125148773193, -3.800638645298154e-10, 1759520958879884599, 
0.0004939436912536621, 0.01571577787399292, -2.6871783816030335e-10, 1759520958910573516, 
0.0039299726486206055, -0.003963887691497803, -1.6352991673952703e-10, 1759520958942397752, 
0.010965287685394287, -0.004125535488128662, -1.0779551848578368e-06, 1759520958970047810, 
0.009044051170349121, 0.0047127604484558105, -6.870175003666348e-11, 1759520959000126950, 
0.017890870571136475, -0.0006232261657714844, -2.696668858979548e-11, 1759520959060148868, 
-0.00013059377670288086, -0.011352717876434326, -9.75125347612856e-12, 1759520959090132836, 
-0.018285512924194336, -0.007928252220153809, -7.409619469544261e-07, 1759520959160412591, 
0.012212693691253662, 0.0027689337730407715, -9.962474179559396e-07, 1759520959190326655, 
0.012143552303314209, -0.00677645206451416, 1.6897543430927085e-12, 1759520959262206859, 
-0.016435444355010986, 0.018437683582305908, -5.5107974926732135e-12, 1759520959292758019, 
0.03215593099594116, 0.014476776123046875, 2.1230904145158184e-12, 1759520959321063721, 
0.005106329917907715, 0.007001399993896484, 1.004108261305544e-06, 1759520959350743914, 
-0.016563773155212402, -0.011261582374572754, -1.897957318029215e-11, 1759520959374518923, 
-0.007689714431762695, -0.004231572151184082, 8.19778703328012e-07, 1759520959410868256, 
-0.004127085208892822, -0.009822666645050049, 9.911973672062144e-07, 1759520959440932575, 
0.024474143981933594, 0.027703166007995605, -1.014228198955928e-10, 1759520959471009350, 
-0.009809553623199463, -0.01345735788345337, 9.374632966482597e-07, 1759520959502794539, 
-0.015269339084625244, -0.006342530250549316, 9.423336101198665e-07, 1759520959534414580, 
-0.015084803104400635, 0.017105460166931152, -1.6553332246352776e-10, 1759520959561571318, 
0.02271580696105957, -0.013823270797729492, -1.0010317123358232e-10, 1759520959591327973, 
0.022479712963104248, -0.014048755168914795, 7.440825508672606e-07, 1759520959631371927, 
0.004583954811096191, -0.00842428207397461, 9.546970419005342e-07, 1759520959662584007, 
0.004765152931213379, 0.013173997402191162, -7.776508286319218e-11, 1759520959694232987, 
