x, y, th, stamp, 
0.0, 0.0, 5.996834602228773e-07, 1759520959103062516, 
0.0, 0.0, -5.900469659536611e-07, 1759520959153570905, 
0.0, 0.0, 0.0, 1759520959200132046, 
0.0, 0.0, 0.0, 1759520959249326212, 
0.0, 0.0, -6.783980097679887e-07, 1759520959293256652, 
0.0, 0.0, 5.939333505011746e-07, 1759520959343434541, 
0.0, 0.0, -8.78232810919144e-07, 1759520959411303383, 
0.0, 0.0, -7.171270226535853e-07, 1759520959452861324, 
0.0, 0.0, 0.0, 1759520959503032939, 
0.0, 0.0, -1.185319320029521e-06, 1759520959553318667, 
-4.531760065068398e-11, -6.074297793624813e-11, 4.367731889942661e-06, 1759520959601081732, 
0.0, 0.0, -1.188764372272999e-06, 1759520959651221731, 
0.0, 0.0, -7.029257744761708e-07, 1759520959693619268, 
0.0, 0.0, -4.337499035500514e-07, 1759520959762327806, 
0.0, 0.0, 0.0, 1759520959795167172, 
0.0, 0.0, -1.009426114251255e-06, 1759520959854215226, 
0.0, 0.0, 0.0, 1759520959905365987, 
0.0, 0.0, -3.089182428084314e-06, 1759520959953602576, 
0.0, 0.0, -6.077180501051771e-07, 1759520960002642296, 
0.0, 0.0, -4.964107915839122e-07, 1759520960062677903, 
0.0, 0.0, -9.608568234398263e-07, 1759520960093694307, 
0.0, 0.0, -4.353289000391669e-07, 1759520960162153630, 
0.0, 0.0, -1.1654807394734235e-06, 1759520960213295311, 
0.0, 0.0, 7.466264833055902e-07, 1759520960253211283, 
0.0, 0.0, 0.0, 1759520960303211744, 
0.0, 0.0, -1.1968132866968517e-06, 1759520960353014535, 
0.0, 0.0, -1.1875299605890177e-06, 1759520960403206652, 
0.0, 0.0, -1.7919267065735767e-06, 1759520960453100973, 
0.0, 0.0, -3.720894937941921e-06, 1759520960493148223, 
0.0, 0.0, -5.869778760825284e-07, 1759520960543920702, 
0.0, 0.0, -4.232371793477796e-06, 1759520960593211329, 
0.0, 0.0, -4.981118308933219e-07, 1759520960653041915, 
0.0, 0.0, 0.0, 1759520960704054838, 
0.0, 0.0, 0.0, 1759520960753016158, 
0.0, 0.0, 0.0, 1759520960803054024, 
1.08202648013025e-06, -2.1262986641401434e-06, -2.9822781471011695e-06, 1759520960853019726, 
0.0, 0.0, -4.451812856132165e-06, 1759520960893186271, 
0.0, 0.0, -1.1996850162176997e-06, 1759520960942869848, 
0.0, 0.0, 0.0, 1759520960993022942, 
0.0, 0.0, 0.0, 1759520961053231987, 
0.0, 0.0, 0.0, 1759520961103056830, 
0.0, 0.0, 0.0, 1759520961150103593, 
-0.00019058251012258023, 0.00018592942920439649, 0.0, 1759520961203056843, 
0.003263290736039975, 0.0028741902210471155, 0.42165568470954895, 1759520961253106539, 
0.006964842591354663, 0.008095645685788225, 0.8721012473106384, 1759520961293147257, 
0.015783055886679147, 0.0022826386637103935, 1.2876498699188232, 1759520961362765689, 
0.015625500235650687, -0.002253577171948174, 1.5846384763717651, 1759520961393281560, 
0.027635858470196298, 0.004568212229683269, 1.882444977760315, 1759520961454578311, 
0.03678098334573006, 0.0049902941492644005, 2.0655789375305176, 1759520961503057416, 
0.05296796582723093, -0.011231667580926965, 2.0474421977996826, 1759520961553024580, 
0.043810030299174414, -0.006800601255059017, 1.969739317893982, 1759520961603202286, 
0.04705056890185722, -0.008388305120670006, 1.916832447052002, 1759520961653019202, 
0.05492190223979018, -0.013537116436376322, 1.8410202264785767, 1759520961694045614, 
0.05157438683878624, 0.0003672091975096501, 1.8529324531555176, 1759520961762874132, 
0.07279329897379368, -0.00513365544095441, 1.8743375539779663, 1759520961793353778, 
0.060355821931356725, -0.004600849996457493, 1.8760963678359985, 1759520961843581517, 
0.06643194210368748, -0.004749749193021545, 1.8980427980422974, 1759520961903186417, 
0.08250915164759785, -0.0018969695071983253, 1.8880879878997803, 1759520961953052436, 
0.08443532177489455, -0.005728875212879434, 1.8765181303024292, 1759520962003053916, 
0.09264348720363949, -0.010072626549520031, 1.8952594995498657, 1759520962054024255, 
0.10453920929406214, -0.002285360070790324, 1.9141497611999512, 1759520962093051220, 
0.09671504895598965, -0.007807424912881881, 1.9284353256225586, 1759520962142652661, 
0.09919798409807565, -0.00711652152077043, 1.9290472269058228, 1759520962193127568, 
0.10787490095662433, -0.009478290956389027, 1.949658751487732, 1759520962242742260, 
0.10955974193803454, -0.008490142668611799, 1.8715347051620483, 1759520962303059960, 
0.10919931044038038, -0.00019985357372037516, 1.8470340967178345, 1759520962353022414, 
0.1332624472209736, -0.0032411616122454997, 1.8914601802825928, 1759520962403029730, 
0.12584844264913753, -0.009643923365843602, 1.866233229637146, 1759520962454183927, 
0.11976089493984837, 0.0037119215559457235, 1.9149985313415527, 1759520962493052224, 
0.13452911331853923, -0.0048661927275224235, 1.898895025253296, 1759520962542974046, 
0.14443743728852965, 9.98913783096942e-05, 1.849631905555725, 1759520962614656645, 
0.12958701882083906, -0.0012558182888409725, 1.8112961053848267, 1759520962653564085, 
0.1630523769686022, 0.0018098512131086491, 1.9104830026626587, 1759520962703060745, 
0.1464984892301578, 0.005666785929033865, 1.8580161333084106, 1759520962753023150, 
0.15123299972107948, -0.0029399003944170555, 1.9596532583236694, 1759520962803029343, 
0.1698973274088369, -0.009934380401274562, 1.8844773769378662, 1759520962849335227, 
0.17558362758348536, -0.0006280210120787447, 1.851517915725708, 1759520962893062918, 
0.16988683081259903, 0.00316088701023019, 1.8930039405822754, 1759520962963200924, 
0.1791113017831569, -0.0015681861963232674, 1.8796954154968262, 1759520962993374004, 
