x, y, theta, stamp, 
-7.105427357601002e-15, -3.552713678800501e-15, 3.188410848361436e-11, 1761334365855450663, 
-7.105427357601002e-15, -3.552713678800501e-15, 3.4612635584814677e-11, 1761334365904681451, 
-7.105427357601002e-15, -3.552713678800501e-15, 3.825067171974844e-11, 1761334365965381298, 
-2.0707899395233653e-08, 2.384300401558903e-08, -2.3838378404135602e-07, 1761334366015862368, 
2.899112985232932e-07, -3.3380163699803234e-07, 3.3379707436954673e-06, 1761334366066263771, 
0.0003526945656631142, -1.0063698937301524e-05, -0.002372554109816955, 1761334366115528533, 
0.0024517264682799578, -0.00030959054129198194, -0.018925168621228172, 1761334366165380310, 
0.005395351443439722, -0.0005763305816799402, -0.03654079981602173, 1761334366205436621, 
0.01014020200818777, -0.0008874171180650592, -0.06492540577371476, 1761334366255931432, 
0.01831158809363842, -0.0019185137934982777, -0.11928365454988216, 1761334366325063004, 
0.02252878062427044, -0.002611312782391906, -0.1473891747017775, 1761334366354944631, 
0.033104002475738525, -0.004368708003312349, -0.21186058905752073, 1761334366416300913, 
0.04343049228191376, -0.0069619277492165565, -0.27054583540592253, 1761334366464385551, 
0.06703507900238037, -0.015333828516304493, -0.4193637648049369, 1761334366565319320, 
0.0889468863606453, -0.026674289256334305, -0.566344686870504, 1761334366655337447, 
0.11295303702354431, -0.04451970383524895, -0.7432087190356502, 1761334366764822631, 
0.13202865421772003, -0.06399033218622208, -0.9029038193666287, 1761334366865350165, 
0.14770084619522095, -0.08624950796365738, -1.061875274566172, 1761334366965142180, 
0.15884871780872345, -0.10873513668775558, -1.203074257204212, 1761334367055433412, 
0.16738320887088776, -0.13515377044677734, -1.3553497629425817, 1761334367154361406, 
0.1725391298532486, -0.16645818948745728, -1.5137421590229185, 1761334367264384984, 
0.17310254275798798, -0.19617043435573578, -1.6525495380009718, 1761334367366328944, 
0.16984601318836212, -0.22369351983070374, -1.7696118196793997, 1761334367455355673, 
0.1622498631477356, -0.2536959946155548, -1.8909080955500557, 1761334367554356444, 
0.15014970302581787, -0.2852277457714081, -2.011364522306333, 1761334367665340432, 
0.14354364573955536, -0.2989763915538788, -2.0617570274674315, 1761334367714379292, 
0.12148048728704453, -0.33505627512931824, -2.1857155203703784, 1761334367854353229, 
0.103070467710495, -0.3592115342617035, -2.2617706042392602, 1761334367954819390, 
0.0808204859495163, -0.3841680884361267, -2.3374239124251406, 1761334368064472452, 
0.059419114142656326, -0.40571632981300354, -2.3965250511691725, 1761334368165492478, 
0.038364656269550323, -0.4242633283138275, -2.442683344655692, 1761334368255432320, 
0.01225263997912407, -0.44562238454818726, -2.490021481070117, 1761334368365905948, 
-0.012409809976816177, -0.46380865573883057, -2.527216415459644, 1761334368465342559, 
-0.037513356655836105, -0.48119714856147766, -2.5585216148921046, 1761334368565343326, 
-0.06035842373967171, -0.4959651529788971, -2.580634167687808, 1761334368655361749, 
-0.08637898415327072, -0.5119544267654419, -2.6008578479029056, 1761334368755096647, 
-0.11558612436056137, -0.5290887355804443, -2.61915583612833, 1761334368864410008, 
-0.1421080380678177, -0.5439353585243225, -2.6306795862754573, 1761334368964367536, 
-0.16623122990131378, -0.5571879148483276, -2.6415062489770085, 1761334369055372581, 
-0.19589410722255707, -0.5731037259101868, -2.6493868300902363, 1761334369166106268, 
-0.22322897613048553, -0.5873346924781799, -2.6520517135351187, 1761334369265351371, 
-0.2502768635749817, -0.6014804244041443, -2.6579844777794697, 1761334369364352336, 
-0.2746857702732086, -0.6141934394836426, -2.659168491064995, 1761334369454375844, 
-0.3007693886756897, -0.6275700926780701, -2.663978232516434, 1761334369556026184, 
-0.32799845933914185, -0.6413857340812683, -2.6643531040145665, 1761334369664408885, 
-0.35272160172462463, -0.6538907885551453, -2.6648173287701318, 1761334369765355394, 
-0.37396085262298584, -0.6646193861961365, -2.66574684672144, 1761334369855377267, 
-0.39640167355537415, -0.676163375377655, -2.665630294921821, 1761334369955802011, 
-0.4207286536693573, -0.6887757182121277, -2.6636507987155307, 1761334370064426204, 
-0.4421684741973877, -0.6996733546257019, -2.6616938598022744, 1761334370165360952, 
-0.4604339301586151, -0.7090081572532654, -2.6624558654851374, 1761334370255395048, 
-0.4799780249595642, -0.7190289497375488, -2.6615142642417617, 1761334370355389283, 
-0.500780463218689, -0.7297153472900391, -2.659780032150343, 1761334370465413403, 
-0.518869161605835, -0.739249587059021, -2.6593978065769983, 1761334370565366893, 
-0.5347867012023926, -0.7474877834320068, -2.655573420179902, 1761334370655447306, 
-0.5517287254333496, -0.7564011216163635, -2.656346277249078, 1761334370755792769, 
-0.5695110559463501, -0.7657102942466736, -2.6550582130955056, 1761334370865376248, 
