odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
0.9797855019569397, -0.3718779683113098, -0.5332339255867303, 0.02853989312682798, -0.2408987134695053, 1.5470206475986834, -0.5194233332706053, -0.30747858837175485, 1763153494.476509, 
0.9842210412025452, -0.37471330165863037, -0.5776987056601359, 0.02929264552105828, -0.2431948333978653, 1.5559312527035642, -0.5371986008760007, -0.32501166139430543, 1763153494.6655166, 
0.9865073561668396, -0.37642717361450195, -0.6028173102677193, 0.025269637325305617, -0.22166477143764496, 1.5547419282973554, -0.5570204140709049, -0.35195710775672967, 1763153494.7752469, 
0.988620400428772, -0.37804386019706726, -0.6253365812639353, 0.026873381121439794, -0.22947022318840027, 1.532831138037602, -0.5641024877777543, -0.3713612702115813, 1763153494.876355, 
0.9919441938400269, -0.38084837794303894, -0.661782570341374, 0.02008028165537075, -0.16385982930660248, 1.5448992825906107, -0.5778828928067856, -0.37778371809177463, 1763153495.0657494, 
0.9954348206520081, -0.38361239433288574, -0.6798397812301352, 0.04645568927940976, -0.12534281611442566, 1.5634300075090912, -0.5441173257960681, -0.4228568728711225, 1763153495.1752038, 
0.9986383318901062, -0.38620510697364807, -0.6897942159335606, 0.03983424920851409, -0.09397215396165848, 1.5533471301665482, -0.5441821516761159, -0.44520643149371675, 1763153495.2772021, 
1.0013755559921265, -0.38861608505249023, -0.692661218801637, 0.04072948756625645, -0.02539675123989582, 1.5676884792252608, -0.5432730019490677, -0.45272095005055996, 1763153495.365509, 
1.007717490196228, -0.3934740424156189, -0.6730904340971756, 0.04481069976579636, 0.09676584601402283, 1.5348806414926321, -0.5298889390008911, -0.4521128163022489, 1763153495.5753498, 
1.0108298063278198, -0.3959977328777313, -0.6684915724238829, 0.03607601498239135, 0.05414142087101936, 1.5365947999215843, -0.537304370487581, -0.4292144956491489, 1763153495.671401, 
1.0151636600494385, -0.39918532967567444, -0.6413810220958922, 0.04142141337116645, 0.07631448656320572, 1.5352279224241516, -0.5384293363838532, -0.42175502558384437, 1763153495.8663774, 
1.0184376239776611, -0.4015909433364868, -0.6328690500378599, 0.034808462546331444, 0.06266425549983978, 1.541515861557764, -0.5163242598240624, -0.42406940398173465, 1763153495.9752166, 
1.0216234922409058, -0.4038611650466919, -0.6253068105176058, 0.042273327278426684, 0.08255023509263992, 1.5562329856621693, -0.5406814605146583, -0.3980693178245228, 1763153496.0723686, 
1.0250805616378784, -0.4062163531780243, -0.6182982152100654, 0.04585708517171951, 0.08727119863033295, 1.590791387372692, -0.5527432681711022, -0.39234252937398706, 1763153496.165546, 
1.0312514305114746, -0.4105462431907654, -0.6020995706832045, 0.03900639479892674, 0.07487539947032928, 1.6087427821763265, -0.5557604275506746, -0.37148119946497515, 1763153496.375378, 
1.0345641374588013, -0.4127083122730255, -0.5947217835067323, 0.04021262618915797, 0.06792286783456802, 1.6188524044311132, -0.556024339716996, -0.3908172397212501, 1763153496.472235, 
1.0376849174499512, -0.41475313901901245, -0.5885737892911344, 0.037997153336234886, 0.07222196459770203, 1.6169452658596313, -0.5660956005358451, -0.39174014152900766, 1763153496.5652044, 
1.0430771112442017, -0.4181140661239624, -0.5835254643165502, 0.030635461397233065, 0.00496300682425499, 1.6088007662028694, -0.5680091114680306, -0.3825552674538591, 1763153496.7762084, 
1.0461407899856567, -0.4201115369796753, -0.5793974907624059, 0.03633158247294767, 0.03343462198972702, 1.6320999420419395, -0.5534715094011419, -0.37825592253248286, 1763153496.8742104, 
1.048880934715271, -0.4217436611652374, -0.5758674313864494, 0.033666679747935524, 0.046706076711416245, 1.6335692078778943, -0.5420015476313049, -0.36209911633932923, 1763153496.967241, 
1.051377773284912, -0.4233790636062622, -0.5742492368681203, 0.029448232668230174, 0.023155545815825462, 1.6470888428184238, -0.5741023268989355, -0.3661128528515925, 1763153497.064739, 
1.0541003942489624, -0.4252435863018036, -0.5748965507542424, 0.033519133459335805, -0.002230171114206314, 1.6470375259793246, -0.564167634856477, -0.35282297737741963, 1763153497.1752772, 
1.0605446100234985, -0.4290742874145508, -0.5641922976035593, 0.0378857414054746, 0.09686844050884247, 1.6341051755677143, -0.5623429539781397, -0.33613042145316296, 1763153497.3665414, 
1.0635825395584106, -0.43112388253211975, -0.5582795518596, 0.034439005668141884, 0.026932761073112488, 1.6538485615900371, -0.5596571492022667, -0.3500142451952158, 1763153497.465288, 
1.0666558742523193, -0.4330260753631592, -0.5700930858266883, 0.029373261727806882, -0.0956166535615921, 1.6702041676436596, -0.5514390953130583, -0.37009514047125847, 1763153497.575247, 
1.0675173997879028, -0.4337691068649292, -0.5829447476333524, 0.012039950328200119, -0.14117702841758728, 1.6775665878310673, -0.5291723842785725, -0.37647164084122514, 1763153497.675206, 
1.0711146593093872, -0.43607574701309204, -0.5939177466901555, 0.00840679315425593, -0.14608676731586456, 1.6631938360633227, -0.53223269986841, -0.40639943397522593, 1763153497.8652918, 
1.0726814270019531, -0.4371766746044159, -0.6086127618713489, 0.015085904488660833, -0.16918149590492249, 1.6856386095293274, -0.5022467471391803, -0.43332482202451494, 1763153497.9752934, 
1.0739301443099976, -0.43802815675735474, -0.6215107128258759, 0.01333404355613189, -0.13558050990104675, 1.6799488834481655, -0.509966604144972, -0.4394170983645947, 1763153498.0762296, 
1.0760786533355713, -0.43994009494781494, -0.6449075308724909, 0.0174572631337433, -0.15691998600959778, 1.6555366891922292, -0.5167613765752617, -0.5010044317505403, 1763153498.2652185, 
1.0780813694000244, -0.4417489171028137, -0.6930149415118028, 0.01998440171713729, -0.4717896580696106, 1.6571739221353508, -0.5118550700587834, -0.5601831441640329, 1763153498.3762236, 
1.0797046422958374, -0.44305846095085144, -0.7343904060757329, 0.021388143649091085, -0.38585060834884644, 1.680009134965749, -0.5051897169823153, -0.5669405102617112, 1763153498.4762342, 
1.0822343826293945, -0.44565826654434204, -0.784346292256947, 0.026145929378304133, -0.4112843871116638, 1.6802100859791305, -0.4610757499457597, -0.6127007854494217, 1763153498.6653926, 
1.0843020677566528, -0.4478608965873718, -0.8340443267824535, 0.02175991075415119, -0.43765324354171753, 1.6706642169584418, -0.4412201205375374, -0.6850646466420425, 1763153498.7763257, 
