x, y, theta, stamp, 
0.0, 0.0, 1.0900908794224554e-10, 1761337829.5221376, 
0.0, 0.0, 1.044149737230459e-10, 1761337829.5919917, 
7.869356295486796e-07, -9.060119054993265e-07, 9.059847079917846e-06, 1761337829.641977, 
1.3270186173031107e-05, 5.976343800284667e-06, 4.1007351047372224e-05, 1761337829.6819806, 
0.0013459348119795322, -0.00012825653539039195, -0.008869014992122616, 1761337829.7320614, 
0.004191974643617868, -0.0005715886363759637, -0.03113548893967939, 1761337829.7819586, 
0.008645150810480118, -0.0009182293433696032, -0.05850461460647523, 1761337829.8325279, 
0.015273507684469223, -0.0016944544622674584, -0.10398315096236548, 1761337829.8931806, 
0.021954074501991272, -0.003025385085493326, -0.14954970733127826, 1761337829.9419615, 
0.030469434335827827, -0.004623514600098133, -0.20423675283533416, 1761337829.992371, 
0.040668174624443054, -0.007087732665240765, -0.26531019406054296, 1761337830.0419896, 
0.04968394339084625, -0.009625176899135113, -0.3177173637761065, 1761337830.0819554, 
0.061574023216962814, -0.01403089053928852, -0.38878083526844776, 1761337830.1319435, 
0.08700922876596451, -0.025969885289669037, -0.5296965786879296, 1761337830.2316778, 
0.10906700044870377, -0.04017246887087822, -0.6531845273644832, 1761337830.3224502, 
0.13635015487670898, -0.06362269073724747, -0.8098637448873812, 1761337830.4419858, 
0.15445250272750854, -0.08382729440927505, -0.9166966345225922, 1761337830.532939, 
0.17222142219543457, -0.10931234061717987, -1.0237082626880096, 1761337830.6324737, 
0.18564851582050323, -0.13340988755226135, -1.1139866259876343, 1761337830.7220738, 
0.20037461817264557, -0.16743049025535583, -1.2220334966279174, 1761337830.8419976, 
0.20884965360164642, -0.19365046918392181, -1.2973215066794965, 1761337830.9329364, 
0.21584506332874298, -0.22319859266281128, -1.3741444258782594, 1761337831.0319169, 
0.22060279548168182, -0.2502835988998413, -1.4395862452411612, 1761337831.122454, 
0.2238369733095169, -0.2868621051311493, -1.5259883054378278, 1761337831.241952, 
0.22415345907211304, -0.3144470155239105, -1.5885711522949886, 1761337831.3319433, 
0.22251500189304352, -0.34839382767677307, -1.6646644160356734, 1761337831.4421122, 
0.21974395215511322, -0.3726045787334442, -1.7205923956605325, 1761337831.5220528, 
