error, error_dot, error_int, stamp, 
-2.3561937082155904, 2.7710779234081743e-06, -0.3423205341047057, 1761333804.4039807, 
-2.3562036146782055, -9.613337142710676e-05, -0.34324986007591934, 1761333804.4540617, 
-2.3562278594345063, -0.00038716700212986573, -0.32563119390640205, 1761333804.4961152, 
-2.3454041859696457, 0.10863367164162757, -0.32373838001073046, 1761333804.5458007, 
-2.313250590561254, 0.34404765689839206, -0.4140912858647965, 1761333804.614176, 
-2.2878955284806715, 0.5382801721788597, -0.3827342384526044, 1761333804.6559947, 
-2.251970602579744, 0.6613225280182596, -0.3151393800014629, 1761333804.7061455, 
-2.2067279787525798, 0.8037180987747883, -0.34044186550064487, 1761333804.7569172, 
-2.1591270510647234, 0.9511733200927999, -0.32375457875092156, 1761333804.8039887, 
-2.1029602113849983, 1.0666541411878823, -0.3141526851196387, 1761333804.8540456, 
-2.0191652313923028, 1.2323629850610867, -0.3532146136740926, 1761333804.9164553, 
-1.894510452483439, 1.4451514748243444, -0.4300529610759513, 1761333804.9970002, 
-1.7275592175169567, 1.53269179581976, -0.5374536439041167, 1761333805.1069999, 
-1.5829678227954407, 1.504379859093437, -0.5386555159599353, 1761333805.203975, 
-1.4403395370033614, 1.523642274655082, -0.4480606215730623, 1761333805.2956223, 
-1.2692476381262365, 1.503861890312529, -0.4496960972455832, 1761333805.4134986, 
-1.1393262767476013, 1.4284287595060996, -0.40475247181741886, 1761333805.5059428, 
-1.003873567995393, 1.3936860228332424, -0.32496480080823476, 1761333805.6039572, 
-0.8820100102132182, 1.3556216379490282, -0.2869276154158909, 1761333805.695634, 
-0.7422536520766885, 1.2573408492428828, -0.27539473815828697, 1761333805.8135312, 
-0.6442248627419405, 1.122743724503408, -0.2386113443430585, 1761333805.9060042, 
-0.545773911438225, 1.032662638843983, -0.18396034246847298, 1761333806.0039413, 
-0.44952723043061305, 0.9295425903766718, -0.1726907740102219, 1761333806.1166635, 
-0.3767847719511286, 0.8007446215166375, -0.14408071798351182, 1761333806.2139587, 
-0.31537707524239256, 0.7074390224216955, -0.1080773337827791, 1761333806.3059924, 
-0.25688505944200646, 0.6320925997899486, -0.09016784760312359, 1761333806.4039762, 
-0.20728747496393884, 0.568090408189833, -0.07404287505039665, 1761333806.4959557, 
-0.15978748302900936, 0.4711975097921781, -0.06545204622004876, 1761333806.6137717, 
-0.12544176918867267, 0.3857821866374933, -0.0519721157029114, 1761333806.7070029, 
-0.09353806022137601, 0.3496125139429862, -0.03591963845731297, 1761333806.8034377, 
-0.06564054900762128, 0.28890278162704286, -0.02979862453128886, 1761333806.9163947, 
-0.04369956384184448, 0.2359662217128223, -0.02135199112862012, 1761333807.0139287, 
-0.027721635075034, 0.19823879812449618, -0.013068069433503936, 1761333807.1070836, 
-0.014064067676310632, 0.1562507179455072, -0.00812237465522207, 1761333807.2039585, 
-0.0041848112205613575, 0.11429062395887749, -0.004818909028097962, 1761333807.3167357, 
0.004471306694801669, 0.0884132213776376, -0.0014451976852584813, 1761333807.4137483, 
0.01043019149716562, 0.07691447571544552, 0.00101407859309219, 1761333807.5059881, 
0.016750982774747847, 0.06455428106301393, 0.0030105743393462605, 1761333807.603975, 
0.01856786973735014, 0.04210474673152409, 0.00435074140512801, 1761333807.6961884, 
0.02251994154939929, 0.02661876378082026, 0.006074936884563081, 1761333807.8140395, 
0.024243838012281582, 0.026037061441540915, 0.006887107731092484, 1761333807.9070237, 
0.02205183486999518, -0.0020258391862171665, 0.0065379116105778335, 1761333808.004052, 
0.02120553714362261, -0.015035970383045898, 0.00709306441018944, 1761333808.1171849, 
0.018796176421842947, -0.016142432717875386, 0.006523924854075654, 1761333808.2143197, 
0.017949755057760974, -0.01701833665168661, 0.005471038148713948, 1761333808.305999, 
0.016568095494339907, -0.011662664220922892, 0.005057334504428061, 1761333808.4040384, 
0.01629870109444953, -0.008240076205216613, 0.005358311321152638, 1761333808.5168877, 
0.013396195595626992, -0.016133724127469332, 0.004857320455626346, 1761333808.6140254, 
