x, y, theta, stamp, 
0.0, 0.0, -1.961269010345195e-12, 1761336108.5282829, 
0.0, 0.0, -1.961269010345195e-12, 1761336108.5878146, 
0.0, 0.0, -1.961269010345195e-12, 1761336108.6189592, 
0.0005253007402643561, -2.8366386686684564e-05, -0.003139268090925401, 1761336108.6873884, 
0.002396056428551674, -0.0003211239818483591, -0.021084228328754933, 1761336108.7379496, 
0.005014681722968817, -0.0006899336585775018, -0.0395875845723935, 1761336108.7786233, 
0.010272320359945297, -0.001248171436600387, -0.06474344117117722, 1761336108.827656, 
0.016201535239815712, -0.0021528901997953653, -0.10107089072114053, 1761336108.8779407, 
0.024012800306081772, -0.003295691916719079, -0.15993823720289604, 1761336108.9387052, 
0.030789801850914955, -0.0048743137158453465, -0.20151970494446358, 1761336108.9778638, 
0.04301385208964348, -0.0075452374294400215, -0.27613560547406635, 1761336109.0374494, 
0.0543241985142231, -0.011140038259327412, -0.3466624642290571, 1761336109.0877042, 
0.06608565896749496, -0.0156855545938015, -0.4249479063676927, 1761336109.1387672, 
0.07580868154764175, -0.02047383040189743, -0.48566056428632365, 1761336109.1787648, 
0.09867626428604126, -0.03454875946044922, -0.6428725080788185, 1761336109.2778983, 
0.11950135976076126, -0.052147746086120605, -0.8000973937962681, 1761336109.37815, 
0.13920031487941742, -0.07534218579530716, -0.9702217823317953, 1761336109.4878159, 
0.15266473591327667, -0.09673912078142166, -1.108160960262613, 1761336109.578599, 
0.16383440792560577, -0.12310541421175003, -1.2568897435050328, 1761336109.6779194, 
0.17190460860729218, -0.15407513082027435, -1.418761959788438, 1761336109.7875443, 
0.17480607330799103, -0.18233145773410797, -1.569535284270547, 1761336109.8876204, 
0.1737876534461975, -0.20891748368740082, -1.69284295947126, 1761336109.9788384, 
0.16854746639728546, -0.239226832985878, -1.8183417678388476, 1761336110.0776193, 
0.15973840653896332, -0.2688165307044983, -1.9422677801493393, 1761336110.1776671, 
0.1458623856306076, -0.29940077662467957, -2.0671973739750626, 1761336110.287694, 
0.13203229010105133, -0.32311001420021057, -2.153860652024574, 1761336110.3786082, 
0.11422628909349442, -0.34791260957717896, -2.2337231957813093, 1761336110.477621, 
0.0947314202785492, -0.37068885564804077, -2.3136948041957943, 1761336110.5774987, 
0.07123184949159622, -0.3946761190891266, -2.3891245918899595, 1761336110.6876295, 
0.05093475431203842, -0.41348379850387573, -2.438058783986284, 1761336110.778611, 
0.02794833853840828, -0.4327132999897003, -2.479664876540216, 1761336110.8777475, 
0.0009989896789193153, -0.45304515957832336, -2.5269949160620278, 1761336110.9879122, 
-0.02398790791630745, -0.4701845943927765, -2.5630592272975155, 1761336111.0876527, 
-0.04721566662192345, -0.4849626421928406, -2.590667816516279, 1761336111.1786506, 
-0.07367116212844849, -0.5007182955741882, -2.614613978075515, 1761336111.2780788, 
-0.10022813826799393, -0.5157521963119507, -2.632030754688144, 1761336111.3774283, 
-0.12953706085681915, -0.5316044092178345, -2.6479034194575237, 1761336111.4877286, 
-0.1539427936077118, -0.5443982481956482, -2.658126659158397, 1761336111.5786343, 
-0.18141746520996094, -0.5585091710090637, -2.6664143110372094, 1761336111.6776419, 
-0.20911234617233276, -0.5723007321357727, -2.673656536206027, 1761336111.7777715, 
-0.2392888218164444, -0.5869795083999634, -2.6785620077360606, 1761336111.8887928, 
-0.26395031809806824, -0.5990140438079834, -2.6804940543847584, 1761336111.978627, 
-0.291392982006073, -0.612514317035675, -2.680934662344939, 1761336112.0777593, 
-0.3186817765235901, -0.6261143684387207, -2.6794197245982447, 1761336112.1775875, 
-0.3484728932380676, -0.6409056186676025, -2.6779281986331993, 1761336112.2876418, 
-0.3731432855129242, -0.6530787944793701, -2.6768207671770408, 1761336112.3786535, 
-0.4004614055156708, -0.6669925451278687, -2.6756394280060345, 1761336112.477641, 
-0.42800426483154297, -0.680641233921051, -2.671151941031188, 1761336112.577363, 
-0.4577540159225464, -0.6956086754798889, -2.6687330592024083, 1761336112.6876829, 
-0.48231446743011475, -0.7081059813499451, -2.666470010247977, 1761336112.7786279, 
-0.5097880363464355, -0.7221242189407349, -2.6621258674240984, 1761336112.877647, 
-0.5396625995635986, -0.737777590751648, -2.6602423432135245, 1761336112.9875932, 
-0.5668489933013916, -0.752060055732727, -2.6570770093523897, 1761336113.087779, 
-0.5912801623344421, -0.7645646929740906, -2.6543499964963804, 1761336113.1786246, 
-0.6184498071670532, -0.7788161039352417, -2.6492593365290915, 1761336113.2777367, 
-0.6454534530639648, -0.7934070825576782, -2.6461617501206254, 1761336113.3778481, 
-0.6750255227088928, -0.8090800046920776, -2.6442704309188123, 1761336113.4877744, 
-0.6991392970085144, -0.8222150802612305, -2.642556729445852, 1761336113.578898, 
-0.726056694984436, -0.8369103074073792, -2.638970514350874, 1761336113.677682, 
-0.75298672914505, -0.8515985012054443, -2.6356687933461678, 1761336113.778969, 
-0.782416045665741, -0.8677471280097961, -2.633026437359825, 1761336113.8878226, 
-0.8064661026000977, -0.8812689185142517, -2.6301069631027696, 1761336113.9786453, 
-0.8333209156990051, -0.896428644657135, -2.627518288296365, 1761336114.077666, 
-0.8592383861541748, -0.9112527370452881, -2.6242290190649915, 1761336114.177514, 
-0.8856989145278931, -0.9263496398925781, -2.623365424536724, 1761336114.2876856, 
-0.9052385091781616, -0.9374322295188904, -2.6203655164740343, 1761336114.3786492, 
-0.9246031641960144, -0.9487357139587402, -2.6203655164740343, 1761336114.477664, 
-0.944108247756958, -0.959899365901947, -2.6152626758062616, 1761336114.58792, 
-0.9586374759674072, -0.968384861946106, -2.6116299108817773, 1761336114.6876724, 
-0.969002366065979, -0.9743139147758484, -2.610086474665049, 1761336114.778654, 
-0.9793995022773743, -0.9804438948631287, -2.607683628070471, 1761336114.877751, 
-0.987964928150177, -0.9856958985328674, -2.6043739363479874, 1761336114.9789007, 
-0.9964362978935242, -0.9905914068222046, -2.599922919642407, 1761336115.0877342, 
-1.001631498336792, -0.993894100189209, -2.5952463206447693, 1761336115.178914, 
-1.0061978101730347, -0.9966322183609009, -2.587453694935805, 1761336115.2776523, 
-1.0095380544662476, -0.9986438751220703, -2.5779306359578573, 1761336115.3783, 
-1.013277530670166, -1.001412034034729, -2.5545553283443323, 1761336115.487861, 
-1.0146249532699585, -1.0020248889923096, -2.538604344229127, 1761336115.578689, 
-1.0159034729003906, -1.0032466650009155, -2.506437677368548, 1761336115.6776848, 
-1.0167258977890015, -1.0038771629333496, -2.4530963320816426, 1761336115.7788236, 
-1.0163105726242065, -1.0041205883026123, -2.3536362659480647, 1761336115.8877046, 
-1.0163187980651855, -1.0041601657867432, -2.2196936199718893, 1761336115.978663, 
-1.0162183046340942, -1.0045744180679321, -2.023891839818155, 1761336116.0776794, 
-1.0168793201446533, -1.0053750276565552, -1.8280512871059922, 1761336116.1783056, 
-1.0169954299926758, -1.0060968399047852, -1.6205116269554554, 1761336116.287693, 
-1.0173393487930298, -1.007086157798767, -1.4457984951995004, 1761336116.3786595, 
