x, y, theta, stamp, 
3.375077994860476e-14, 3.552713678800501e-15, 9.697555492154539e-11, 1761334494811660649, 
3.375077994860476e-14, 3.552713678800501e-15, 9.924930887282069e-11, 1761334494853335647, 
3.375077994860476e-14, 3.552713678800501e-15, 1.0288731519486113e-10, 1761334494921989083, 
3.375077994860476e-14, 3.552713678800501e-15, 1.0607057072664654e-10, 1761334494971870902, 
2.0153936930000782e-05, -1.9417546354816295e-05, 1.0834432467792182e-10, 1761334495012857185, 
0.0016834279522299767, -0.00022053814609535038, -0.011544599529923438, 1761334495061799964, 
0.005006501451134682, -0.0005167796043679118, -0.036808464831730246, 1761334495111832643, 
0.009907472878694534, -0.0008644008194096386, -0.06472949166716448, 1761334495161782261, 
0.01601196639239788, -0.0014206180348992348, -0.10090417940955629, 1761334495212815354, 
0.021554159000515938, -0.0022335932590067387, -0.135794686271188, 1761334495252549363, 
0.031115010380744934, -0.004010479897260666, -0.1906779309791776, 1761334495305864769, 
0.043490488082170486, -0.006893537472933531, -0.2675069914757347, 1761334495367865090, 
0.054916102439165115, -0.01014726236462593, -0.33618423788012197, 1761334495417866513, 
0.06630803644657135, -0.014565247111022472, -0.40973112187644956, 1761334495464800297, 
0.09043369442224503, -0.026763778179883957, -0.5667093812116657, 1761334495561785478, 
0.11051695793867111, -0.04057542234659195, -0.7140685881706901, 1761334495652945703, 
0.13319388031959534, -0.06346569210290909, -0.9075084267226257, 1761334495771822633, 
0.14754045009613037, -0.08386450260877609, -1.0478557017342356, 1761334495861809904, 
0.1596350520849228, -0.10861098021268845, -1.2013681099510192, 1761334495961788619, 
0.1675717830657959, -0.13208532333374023, -1.339308474951737, 1761334496052359025, 
0.17337854206562042, -0.16617056727409363, -1.5165320609218713, 1761334496172878035, 
0.17362363636493683, -0.19301457703113556, -1.6403138777525825, 1761334496261810829, 
0.1699962466955185, -0.2230660617351532, -1.7730668723277117, 1761334496361796103, 
0.16366146504878998, -0.249705970287323, -1.8835051734016257, 1761334496452720190, 
0.15064188838005066, -0.2843831777572632, -2.01290511366872, 1761334496572867554, 
0.13807983696460724, -0.3084680736064911, -2.1007709578479883, 1761334496661814769, 
0.12251244485378265, -0.3331369161605835, -2.185506074162713, 1761334496756804082, 
0.10528315603733063, -0.3564751446247101, -2.2598758027514942, 1761334496853782965, 
0.08106674253940582, -0.3836502432823181, -2.3399066131375506, 1761334496972880434, 
0.06165485829114914, -0.4031374454498291, -2.392595990128977, 1761334497062820681, 
0.038926173001527786, -0.4235353469848633, -2.444701099300964, 1761334497161802554, 
0.01819315180182457, -0.44056999683380127, -2.4829180466138676, 1761334497254303414, 
-0.011179093271493912, -0.4628497362136841, -2.524591389360344, 1761334497372858363, 
-0.03418848291039467, -0.4788397252559662, -2.5531663153937902, 1761334497461827299, 
-0.059447597712278366, -0.49534887075424194, -2.5801396253422535, 1761334497561808862, 
-0.08282729983329773, -0.5098132491111755, -2.5987598788389468, 1761334497652948743, 
-0.1143670305609703, -0.5283423662185669, -2.615988973717492, 1761334497772883075, 
-0.13868428766727448, -0.5420945286750793, -2.62651774149155, 1761334497861830436, 
-0.1654135286808014, -0.5566882491111755, -2.638540306021479, 1761334497961813992, 
-0.1938103288412094, -0.5719866752624512, -2.647595180523808, 1761334498068221806, 
-0.22212791442871094, -0.5869571566581726, -2.654757032158844, 1761334498172849776, 
-0.24651023745536804, -0.5997737646102905, -2.6577363057892573, 1761334498261837029, 
-0.2733840048313141, -0.6139663457870483, -2.6601638346331553, 1761334498361818028, 
-0.2981114685535431, -0.6267567873001099, -2.6613388172563215, 1761334498454046407, 
-0.33108240365982056, -0.6437928676605225, -2.66158798438643, 1761334498572898849, 
-0.355572909116745, -0.656440258026123, -2.661816163690947, 1761334498662839337, 
-0.38263124227523804, -0.6704617142677307, -2.6624705920203304, 1761334498761822079, 
-0.4068414568901062, -0.6828567981719971, -2.663048100153424, 1761334498854156698, 
-0.4398331940174103, -0.6998515725135803, -2.6642262061219486, 1761334498972899916, 
-0.4645649790763855, -0.7125698328018188, -2.6628268304185254, 1761334499061843694, 
-0.4916174113750458, -0.7265644669532776, -2.6624045718947627, 1761334499161827180, 
-0.5154091715812683, -0.7387439608573914, -2.6616523382152413, 1761334499253478529, 
-0.5454024076461792, -0.7541527152061462, -2.662927138708358, 1761334499373132306, 
-0.5671408176422119, -0.7656025886535645, -2.662927138708358, 1761334499461852266, 
-0.5902103781700134, -0.7775611877441406, -2.6588928831761547, 1761334499561831866, 
-0.6095932126045227, -0.7872717976570129, -2.6594089602194426, 1761334499654330533, 
-0.6342291831970215, -0.8000525832176208, -2.6605336149591525, 1761334499772891671, 
-0.6515156626701355, -0.809118926525116, -2.6598928156015593, 1761334499862851143, 
-0.6702662706375122, -0.8188319206237793, -2.6594663050579164, 1761334499961839468, 
-0.6895527243614197, -0.8288031220436096, -2.657299999768289, 1761334500071555682, 
-0.7061063647270203, -0.8374420404434204, -2.656061099860911, 1761334500173058941, 
-0.7202901244163513, -0.8447924256324768, -2.656061099860911, 1761334500262930652, 
-0.7352756261825562, -0.8526453971862793, -2.6547276918197964, 1761334500362842530, 
-0.7481946349143982, -0.8594421148300171, -2.6521704004727416, 1761334500452950783, 
-0.7642949819564819, -0.8679688572883606, -2.6510214029851578, 1761334500572920582, 
-0.7754508852958679, -0.874062180519104, -2.6496670317555684, 1761334500662863591, 
-0.7872058749198914, -0.880267322063446, -2.647347223851466, 1761334500757843797, 
-0.7982425093650818, -0.8861973881721497, -2.646302016251569, 1761334500857859886, 
-0.8104649186134338, -0.8928050398826599, -2.6431663147434956, 1761334500972916489, 
-0.819749116897583, -0.8979950547218323, -2.6422413099820745, 1761334501062869808, 
-0.8294439911842346, -0.9033424258232117, -2.6402774012475976, 1761334501162850807, 
-0.8372631669044495, -0.9077273607254028, -2.6402774012475976, 1761334501254062144, 
-0.8476641178131104, -0.9134690165519714, -2.6380015004929818, 1761334501372897679, 
-0.8553346395492554, -0.9173213243484497, -2.635782327070158, 1761334501462871686, 
-0.862929105758667, -0.9215258359909058, -2.6349492163026733, 1761334501562854992, 
-0.869351863861084, -0.9253910183906555, -2.6336124351733967, 1761334501653789088, 
-0.8777236938476562, -0.9301307201385498, -2.632884774457654, 1761334501772906459, 
-0.8840259313583374, -0.9333468675613403, -2.6303267878091687, 1761334501862877506, 
-0.8901029825210571, -0.9367519617080688, -2.6289451379623494, 1761334501962858178, 
-0.8959307670593262, -0.9403253793716431, -2.6303723164117483, 1761334502072363851, 
-0.9017377495765686, -0.9433304667472839, -2.6284084172565225, 1761334502172935315, 
-0.9063618183135986, -0.946387767791748, -2.6275369764526357, 1761334502262883190, 
-0.9115192294120789, -0.9488423466682434, -2.6275369764526357, 1761334502362864968, 
-0.9155183434486389, -0.9515719413757324, -2.626689927637038, 1761334502453488981, 
-0.9209741353988647, -0.9543002247810364, -2.626689927637038, 1761334502572939207, 
-0.9244214296340942, -0.9566351771354675, -2.626689927637038, 1761334502662884355, 
-0.9284303188323975, -0.9586212038993835, -2.62646553447157, 1761334502762867727, 
-0.931856632232666, -0.9606065154075623, -2.627024202072059, 1761334502853893229, 
-0.9359741806983948, -0.9631385803222656, -2.6265063087311002, 1761334502972908776, 
-0.9389947652816772, -0.9646591544151306, -2.6265063087311002, 1761334503062890839, 
-0.942183256149292, -0.9665763974189758, -2.6256894677105453, 1761334503162872255, 
-0.9448806643486023, -0.9681689143180847, -2.624457653420529, 1761334503253653483, 
-0.9486016035079956, -0.9700921177864075, -2.624273268226321, 1761334503372960244, 
-0.9513111710548401, -0.9716300368309021, -2.6220822301088886, 1761334503463010844, 
-0.9537315368652344, -0.9731183052062988, -2.6213681549321315, 1761334503562877507, 
-0.9562960863113403, -0.9745128750801086, -2.623254165247845, 1761334503672497358, 
-0.9590906500816345, -0.9759114980697632, -2.623254165247845, 1761334503772925092, 
-0.9612849950790405, -0.9774481058120728, -2.623254165247845, 1761334503862899412, 
-0.9638557434082031, -0.9790376424789429, -2.6223888996448874, 1761334503962881632, 
-0.9661396145820618, -0.9801886677742004, -2.622059777210292, 1761334504053424869, 
-0.969734787940979, -0.982222318649292, -2.6217878444135803, 1761334504172959005, 
-0.9723061323165894, -0.9837641716003418, -2.6201549811681732, 1761334504262908567, 
